Player,Kicks,Marks,Handballs,Goals,Behinds,Hitouts,Tackles,Rebound50s,Inside50s,Clearances,Clangers,FreeKicksFor,FreeKicksAgainst,BrownlowVotes,Contested,ContestedMarks  ,MarksInside50,1%  ,Bounces,GoalAssists,TOG,PositionDef,PositionInsideMid,PositionRuck,PositionFor,Win
"McStay, Daniel",7,2,2,0,1,10,7,0,3,4,0,2,0,0,6,0,0,3,0,0,77,0,0,0,1,1
"Membrey, Tim",5,0,7,1,1,0,1,0,2,0,2,0,0,0,6,0,0,2,0,0,83,0,0,0,1,1
"Mihocek, Brody",7,7,3,0,3,0,1,0,1,0,3,0,1,0,3,2,4,2,0,0,81,0,0,0,1,1
"Moore, Darcy",8,3,9,0,1,0,0,3,5,0,0,1,0,0,6,0,0,7,0,0,100,1,0,0,0,1
"Pendlebury, Scott",8,3,21,0,0,0,7,3,2,3,4,0,1,0,10,0,0,1,0,1,76,0,1,0,0,1
"Perryman, Harry",10,2,10,1,1,0,8,0,8,2,2,0,0,0,6,0,1,4,0,0,76,0,0,0,0,1
"Quaynor, Isaac",4,3,1,0,0,0,4,2,0,0,3,0,1,0,1,0,0,1,0,0,72,1,0,0,0,1
"Schultz, Lachie",11,7,7,2,1,0,7,1,4,2,5,1,1,3,7,1,3,1,0,1,84,0,0,0,1,1
"Sidebottom, Steele",14,2,10,0,0,0,7,1,5,7,2,1,2,0,13,0,0,3,1,1,81,0,1,0,0,1
"Acres, Blake",11,4,19,0,0,0,5,6,1,3,1,1,0,0,12,0,0,0,0,0,84,0,0,0,0,0
"Cerra, Adam",14,9,9,0,0,0,5,2,5,4,2,1,1,0,7,0,0,2,0,0,78,0,1,0,0,0
"Cowan, Lachlan",0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,15,1,0,0,0,0
"Cripps, Patrick",9,0,7,1,0,0,1,1,1,2,4,2,0,0,6,0,0,1,0,0,80,0,1,0,0,0
"Curnow, Charlie",7,3,1,1,1,0,0,0,3,0,1,1,1,0,6,2,1,1,1,0,95,0,0,0,1,0
"De Koning, Tom",7,2,12,0,1,31,2,1,4,6,7,3,4,0,17,2,0,3,0,0,78,0,0,1,0,0
"Docherty, Sam",20,9,7,0,0,0,2,2,6,2,3,2,0,0,6,0,0,0,0,0,86,0,0,0,0,0
"Fogarty, Lachie",5,0,6,0,1,0,5,1,3,2,2,1,0,0,7,0,0,0,0,1,75,0,0,0,1,0
"Haynes, Nick",7,6,5,0,0,0,1,2,1,1,2,1,0,0,6,1,0,3,0,0,84,1,0,0,0,0
"Hewett, George",15,2,14,2,1,0,6,4,2,7,7,2,3,1,17,0,0,1,0,0,81,0,1,0,0,0
"Hollands, Oliver",14,5,7,2,1,0,2,3,3,1,3,1,2,0,6,0,0,1,1,0,85,0,0,0,0,0
"Kemp, Brodie",5,4,2,0,0,0,2,0,1,0,5,1,1,0,1,0,1,2,0,1,87,0,0,0,1,0
"Lord, Cooper",9,7,9,0,0,0,2,0,1,0,2,0,0,0,5,0,0,0,0,1,70,0,0,0,0,0
"McGovern, Mitch",11,6,5,0,0,0,2,2,2,1,2,0,0,0,5,1,0,3,0,0,81,1,0,0,0,0
"Moir, Ashton",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,1,0
"Motlop, Jesse",6,1,5,0,1,0,3,1,2,0,2,2,0,0,6,0,0,1,0,0,82,0,0,0,1,0
"Saad, Adam",18,3,6,0,0,0,2,3,3,1,4,0,0,0,7,1,0,0,1,1,75,1,0,0,0,0
"Silvagni, Jack",10,4,3,0,0,0,7,3,1,0,4,1,1,0,5,1,0,4,0,0,95,1,0,0,0,0
"Walsh, Sam",14,7,17,0,0,0,10,4,0,3,5,3,1,0,8,0,0,0,0,0,88,0,1,0,0,0
"Weitering, Jacob",9,7,5,0,0,0,2,2,0,0,1,1,0,0,6,2,0,3,0,0,100,1,0,0,0,0
"White, Will",9,5,1,0,3,0,0,1,3,1,3,1,1,0,4,0,1,0,0,0,68,0,0,0,1,0
