Player,Kicks,Marks,Handballs,Goals,Behinds,Hitouts,Tackles,Rebound50s,Inside50s,Clearances,Clangers,FreeKicksFor,FreeKicksAgainst,BrownlowVotes,Contested,ContestedMarks  ,MarksInside50,1%  ,Bounces,GoalAssists,TOG,PositionDef,PositionInsideMid,PositionRuck,PositionFor,Win
"Berry, Jarrod",9,0,10,1,0,0,4,2,3,1,6,2,1,0,7,0,0,1,1,1,79,0,0,0,0,1
"Cameron, Charlie",5,4,1,3,1,0,1,0,2,0,1,1,1,0,3,1,3,0,0,0,84,0,0,0,1,1
"Day, Sam",5,4,4,0,0,16,4,0,1,1,1,1,0,0,3,1,0,2,0,1,74,0,0,0,1,1
"Dunkley, Josh",9,3,21,0,0,0,10,0,2,8,5,1,1,0,16,0,0,0,0,0,82,0,1,0,0,1
"Fletcher, Jaspa",17,10,6,1,0,0,1,3,5,1,2,1,1,0,4,1,0,2,0,1,79,1,0,0,0,1
"Hipwood, Eric",5,4,3,1,0,0,0,0,2,1,3,0,0,0,3,0,1,0,0,0,83,0,0,0,1,1
"Lester, Ryan",4,1,3,0,0,0,2,0,1,0,2,0,1,0,2,0,0,4,0,0,85,1,0,0,0,1
"McCluggage, Hugh",12,6,14,2,0,0,12,0,5,6,2,2,1,2,14,0,1,2,0,0,88,0,1,0,0,1
"McInerney, Oscar",5,2,6,0,0,35,4,0,2,5,2,1,1,0,7,0,0,4,0,1,79,0,0,1,0,1
"McLachlan, Will",2,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,1,1
"Morris, Logan",7,6,4,2,1,0,2,0,3,0,4,1,1,0,5,2,4,1,0,1,60,0,0,0,1,1
"Neale, Lachie",15,1,27,0,0,0,4,3,3,7,6,0,1,3,17,0,0,0,0,1,88,0,1,0,0,1
"Payne, Jack",12,8,5,0,0,0,1,4,2,0,1,1,0,0,4,0,0,9,0,1,89,1,0,0,0,1
"Rayner, Cam",9,4,13,0,1,0,6,0,7,6,3,1,2,0,9,0,0,1,0,1,79,0,1,0,0,1
"Reville, Bruce",7,5,2,1,0,0,3,0,1,1,2,0,0,0,2,0,1,1,0,1,75,0,0,0,0,1
"Wilmot, Darcy",17,4,4,0,0,0,3,2,4,2,3,0,1,0,8,0,0,0,0,0,83,1,0,0,0,1
"Zorko, Dayne",17,4,6,0,0,0,1,4,2,0,3,0,0,0,3,0,0,0,0,3,86,1,0,0,0,1
"Comben, Charlie",5,3,10,0,0,0,1,3,0,0,2,0,0,0,7,1,0,3,2,0,87,1,0,0,0,0
"Corr, Aidan",12,5,6,0,0,0,3,4,0,0,2,1,1,0,4,0,0,4,0,0,87,1,0,0,0,0
"Curtis, Paul",9,6,5,2,0,0,5,0,2,0,0,1,0,0,5,1,3,1,0,1,79,0,0,0,1,0
"Daniel, Caleb",15,5,10,0,0,0,2,3,1,1,3,0,0,0,6,0,0,1,0,0,85,1,0,0,0,0
"Darling, Jack",3,3,3,0,0,0,1,0,1,1,5,0,5,0,6,2,0,1,0,2,82,0,0,0,1,0
"Davies-Uniacke, Luke",14,6,11,0,0,0,5,1,5,4,4,0,1,0,7,0,0,1,0,1,81,0,1,0,0,0
"Hansen, Robert",6,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,75,0,0,0,0,0
"Hardeman, Riley",4,0,6,0,0,0,0,2,1,0,0,0,0,0,4,0,0,2,0,0,32,1,0,0,0,0
"Konstanty, Jacob",8,4,8,0,2,0,1,0,1,0,4,3,2,0,7,0,1,1,0,0,68,0,0,0,1,0
"Larkey, Nick",4,3,5,2,0,1,0,1,0,1,2,1,0,0,3,0,2,1,0,0,86,0,0,0,1,0
"Logue, Griffin",9,7,4,0,0,0,2,1,0,0,0,0,0,0,1,0,0,5,0,0,74,1,0,0,0,0
"McDonald, Luke",10,7,8,0,0,0,1,5,1,0,0,1,0,0,4,0,0,2,0,0,84,1,0,0,0,0
"McKercher, Colby",13,4,9,1,0,0,1,0,4,0,1,0,0,0,2,0,0,0,1,0,81,1,0,0,0,0
"Parker, Luke",11,3,16,2,0,0,8,1,3,5,4,1,2,0,9,0,0,0,1,0,75,0,0,0,0,0
"Powell, Tom",10,6,12,0,0,0,5,3,1,6,3,0,0,0,11,0,0,0,0,0,80,1,0,0,0,0
"Scott, Bailey",7,4,5,0,0,0,0,2,2,0,2,1,1,0,1,0,0,0,0,0,79,0,0,0,0,0
"Sheezel, Harry",19,9,15,0,1,0,3,3,2,3,3,1,1,0,9,1,1,1,0,0,92,1,0,0,0,0
"Simpkin, Jy",13,4,9,0,0,0,4,2,2,1,4,0,0,0,3,0,0,1,1,1,81,0,0,0,0,0
"Stephens, Dylan",8,7,10,0,0,0,1,2,2,1,1,1,1,0,3,0,0,0,2,0,80,1,0,0,0,0
"Tucker, Darcy",13,8,7,0,0,0,1,2,1,0,2,0,1,0,1,0,0,0,1,0,84,1,0,0,0,0
"Whitlock, Matt",6,3,4,0,0,0,1,0,0,0,5,0,1,0,3,0,0,0,0,0,58,1,0,0,0,0
"Xerri, Tristan",6,2,12,0,0,23,3,1,2,7,4,4,3,0,14,0,0,1,0,0,79,0,0,1,0,0
"Zurhaar, Cameron",9,8,3,1,0,0,0,0,5,0,4,0,2,0,2,0,1,1,0,1,89,0,0,0,1,0
"Amartey, Joel",7,5,1,4,1,1,2,1,1,1,2,1,2,0,5,2,4,3,0,0,77,0,0,0,1,1
"Bice, Riley",20,15,6,0,0,0,2,4,7,0,3,0,0,0,6,1,0,2,2,2,85,1,0,0,0,1
"Blakey, Nick",11,5,3,0,0,0,1,2,1,0,1,2,0,0,5,0,0,1,0,0,81,1,0,0,0,1
"Campbell, Braeden",11,4,4,1,1,0,2,1,5,0,3,0,1,0,2,0,1,0,1,1,83,0,0,0,1,1
"Cleary, Caiden",7,3,5,0,2,0,6,1,2,2,0,2,0,0,5,0,0,1,0,0,79,0,0,0,1,1
"Florent, Oliver",12,12,6,1,0,0,0,2,4,2,2,1,0,0,6,0,1,0,0,1,90,1,0,0,0,1
"Grundy, Brodie",8,1,12,0,0,21,4,0,2,6,4,4,3,0,13,0,0,1,1,0,76,0,0,1,0,1
"Hamling, Joel",5,3,2,0,0,0,2,0,0,0,1,2,1,0,2,0,0,8,0,0,90,1,0,0,0,1
"Hanily, Tom",6,5,7,2,1,0,1,1,0,0,2,1,0,0,5,0,3,0,0,1,68,0,0,0,1,1
"Hayward, Will",12,6,3,4,1,0,3,0,4,0,2,1,1,3,4,1,3,1,0,2,87,0,0,0,1,1
"Heeney, Isaac",14,4,5,0,0,0,3,1,5,6,2,0,0,2,9,0,0,2,0,2,77,0,1,0,0,1
"Jordon, James",8,5,8,0,1,0,3,1,4,3,0,1,0,0,6,0,1,0,0,0,93,0,1,0,0,1
"Ladhams, Peter",7,4,7,1,0,7,1,1,0,1,3,0,0,0,2,0,2,0,1,1,70,0,0,0,1,1
"Lloyd, Jake",19,12,5,0,1,0,2,1,3,0,3,2,0,0,6,0,1,2,1,0,79,0,0,0,0,1
"McCartin, Tom",10,9,2,0,0,0,0,1,1,0,2,0,1,0,4,3,0,4,0,0,95,1,0,0,0,1
"McLean, Hayden",4,3,4,1,0,2,1,1,2,0,0,0,0,0,4,0,1,1,0,0,76,0,0,0,1,1
"Rampe, Dane",10,6,3,0,0,0,3,0,0,1,1,1,0,0,3,0,0,3,0,0,78,1,0,0,0,1
"Roberts, Matt",13,6,7,1,0,0,1,4,1,1,2,0,1,0,1,0,0,0,0,0,92,0,0,0,0,1
"Rowbottom, James",12,3,8,0,0,0,6,3,4,7,5,1,0,1,10,0,0,0,0,2,76,0,1,0,0,1
"Sheldrick, Angus",8,3,4,1,0,0,1,0,5,2,6,0,0,0,5,0,0,0,0,0,24,0,0,0,0,1
"Warner, Chad",6,2,4,2,0,0,0,0,1,2,3,0,1,0,4,0,1,0,0,1,59,0,1,0,0,1
"Warner, Corey",8,2,3,0,1,0,2,1,2,1,2,0,1,0,3,0,0,2,0,0,85,0,0,0,0,1
"Wicks, Sam",12,2,2,0,0,0,3,3,2,3,3,2,3,0,5,0,0,0,3,1,79,0,0,0,0,1
"Ash, Lachie",17,5,14,0,0,0,1,4,4,2,1,0,1,0,8,1,1,1,4,0,84,1,0,0,0,1
"Bedford, Toby",6,4,8,1,0,0,4,0,2,2,1,1,0,0,4,0,2,0,0,1,78,0,1,0,0,1
"Briggs, Kieren",5,4,10,0,0,42,3,1,2,2,4,1,2,0,6,1,0,2,0,1,79,0,0,1,0,1
"Brown, Callum",6,3,3,0,0,0,2,0,3,0,2,0,1,0,1,0,0,0,0,1,81,0,0,0,1,1
"Buckley, Jack",5,5,3,0,0,0,1,1,0,1,3,1,2,0,5,0,0,7,0,0,88,1,0,0,0,1
"Cadman, Aaron",6,5,2,1,3,0,0,0,1,0,2,1,0,0,4,1,4,1,1,1,66,0,0,0,1,1
"Callaghan, Finn",14,2,11,0,2,0,4,1,10,5,6,0,3,0,6,0,0,1,0,1,77,0,1,0,0,1
"Daniels, Brent",8,3,6,0,1,0,1,0,2,2,0,0,0,0,3,0,3,1,0,2,56,0,0,0,1,1
"Green, Tom",15,5,22,2,1,0,1,3,3,7,4,0,0,1,12,0,0,0,0,1,84,0,1,0,0,1
"Greene, Toby",16,7,8,3,1,0,5,0,10,4,2,2,1,0,7,0,3,0,0,1,88,0,0,0,1,1
"Himmelberg, Harry",12,7,13,0,0,0,4,6,0,1,1,1,0,0,8,2,0,4,1,1,85,1,0,0,0,1
"Hogan, Jesse",10,10,2,9,0,0,1,0,0,0,2,1,2,3,7,5,10,0,0,1,92,0,0,0,1,1
"Idun, Connor",10,9,11,0,0,0,5,4,1,0,0,1,0,0,4,0,0,5,0,1,87,1,0,0,0,1
"Jones, Darcy",16,6,8,2,0,0,7,4,6,1,1,1,0,0,6,0,2,1,0,1,83,0,0,0,0,1
"Kelly, Josh",10,4,19,0,0,0,5,3,3,5,2,1,1,2,9,0,0,2,0,0,86,0,1,0,0,1
"OHalloran, Xavier",3,1,4,0,0,0,2,2,1,2,3,0,1,0,5,0,0,0,0,0,31,1,0,0,0,1
"Riccardi, Jake",11,8,5,1,0,5,1,0,7,0,4,1,3,0,6,2,1,0,0,1,63,0,0,0,1,1
"Stone, Conor",2,1,11,0,0,0,0,4,0,0,4,0,1,0,4,0,0,1,0,0,78,1,0,0,0,1
"Stringer, Jake",6,5,5,0,2,0,0,1,2,2,1,0,1,0,4,0,2,1,0,0,84,0,0,0,1,1
"Taylor, Sam",5,4,7,0,0,0,0,3,0,0,2,0,2,0,6,3,0,7,0,0,94,1,0,0,0,1
"Ward, Callan",4,2,12,1,0,0,1,0,0,3,3,0,1,0,9,1,0,1,0,0,74,0,0,0,0,1
"Wehr, Jacob",8,3,9,0,0,0,1,3,1,1,2,0,1,0,2,0,0,1,0,0,82,1,0,0,0,1
"Whitfield, Lachie",25,10,10,0,0,0,4,8,4,3,3,1,1,0,7,0,0,2,0,1,80,1,0,0,0,1
"Allen, Oscar",6,4,2,0,1,0,4,0,2,1,2,1,0,0,3,0,1,2,0,1,93,0,0,0,1,0
"Baker, Liam",14,3,10,0,1,0,4,0,10,5,5,1,1,0,13,0,0,2,0,1,81,0,0,0,0,0
"Brock, Sandy",11,5,1,0,0,0,1,7,0,0,1,3,0,0,7,1,0,4,0,0,92,1,0,0,0,0
"Brockman, Tyler",3,0,4,0,1,0,2,0,0,2,0,1,0,0,6,0,0,1,0,0,82,0,0,0,1,0
"Cole, Tom",5,4,6,0,0,0,0,0,1,0,3,0,1,0,4,0,0,1,0,1,81,1,0,0,0,0
"Cripps, Jamie",6,1,1,2,0,0,4,0,2,0,1,3,0,0,4,0,0,0,0,0,83,0,0,0,1,0
"Davis, Hamish",3,2,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,33,0,0,0,0,0
"Dewar, Tyrell",11,2,3,1,2,0,0,1,3,1,2,0,0,0,3,0,0,1,0,0,82,0,0,0,0,0
"Duggan, Liam",18,5,3,0,0,0,1,7,2,3,3,0,1,0,6,0,0,3,0,0,77,0,0,0,0,0
"Ginbey, Reuben",14,5,3,0,0,0,1,7,2,0,5,1,2,0,5,1,0,10,1,0,90,1,0,0,0,0
"Graham, Jack",7,1,12,0,0,0,5,0,6,1,2,2,2,0,5,0,0,1,0,0,89,0,1,0,0,0
"Gross, Tom",9,4,8,1,1,0,1,0,6,5,5,2,2,0,7,0,0,0,1,1,71,0,0,0,1,0
"Hall, Clay",3,1,15,0,1,0,1,0,0,4,0,1,0,0,11,0,0,1,1,0,72,0,0,0,0,0
"Hough, Brady",6,3,3,0,0,0,1,4,0,0,1,0,0,0,2,0,0,3,0,0,89,1,0,0,0,0
"Hunt, Jayden",5,2,7,0,0,0,3,1,1,1,3,1,1,0,6,0,0,2,0,0,80,0,0,0,0,0
"Kelly, Tim",3,1,11,0,0,0,1,0,2,4,1,0,0,0,10,0,0,0,0,0,85,0,1,0,0,0
"Long, Noah",2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
"Maric, Ryan",15,3,7,0,0,0,1,10,2,1,3,1,0,0,4,0,0,5,2,0,85,0,0,0,0,0
"Owies, Matthew",5,3,1,0,0,0,3,0,2,0,2,1,0,0,3,1,1,1,0,1,82,0,0,0,1,0
"Reid, Archer",5,4,5,1,1,1,0,0,1,0,1,1,0,0,6,2,2,1,0,0,70,0,0,0,1,0
"Reid, Harley",11,1,14,0,0,0,0,3,6,1,3,0,0,0,5,0,0,0,4,0,85,0,1,0,0,0
"Williams, Bailey",5,1,6,0,0,22,4,0,3,3,3,4,1,0,8,1,0,1,0,0,77,0,0,1,0,0
"Williams, Jack",9,4,2,2,0,8,2,1,3,2,3,1,2,0,6,1,1,1,0,0,77,0,0,0,0,0
"Aliir, Aliir",12,9,6,0,0,0,2,3,4,0,6,0,5,0,8,5,0,1,0,0,100,1,0,0,0,0
"Bergman, Miles",17,9,9,0,0,0,4,3,5,0,3,1,0,0,7,1,0,3,0,0,84,1,0,0,0,0
"Berry, Joe",4,2,2,0,0,0,2,0,2,0,2,1,1,0,4,0,0,0,0,1,38,0,0,0,0,0
"Burgoyne, Jase",9,4,4,0,1,0,3,1,3,0,4,1,0,0,1,0,0,3,0,0,91,0,0,0,0,0
"Butters, Zak",11,3,19,0,0,0,5,2,8,9,5,0,2,0,14,0,0,1,2,0,74,0,1,0,0,0
"Byrne-Jones, Darcy",1,0,6,0,0,0,2,0,0,1,1,1,0,0,5,0,0,0,0,0,77,0,0,0,1,0
"Drew, Willem",12,2,6,0,0,0,3,0,6,2,6,2,2,0,3,0,0,1,0,0,77,0,0,0,0,0
"Evans, Logan",5,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,48,0,0,0,0,0
"Farrell, Kane",13,3,2,0,1,0,3,7,1,0,2,0,1,0,1,0,0,0,0,0,83,1,0,0,0,0
"Georgiades, Mitch",11,8,3,3,2,0,3,0,2,0,2,1,0,0,6,4,6,1,0,1,88,0,0,0,1,0
"Horne-Francis, Jason",13,6,15,3,0,0,6,0,5,6,5,2,2,3,12,2,4,1,1,0,86,0,1,0,0,0
"Jones, Lachie",7,3,6,0,0,0,2,2,0,0,3,1,1,0,9,1,0,5,0,0,77,0,0,0,0,0
"Lord, Ollie",7,4,1,3,1,0,0,0,2,0,1,2,0,0,3,0,3,3,0,1,80,0,0,0,1,0
"Mead, Jackson",7,2,9,0,0,0,3,2,3,0,2,0,1,0,4,0,0,0,0,2,70,0,1,0,0,0
"Moraes, Christian",8,4,6,0,1,0,1,3,3,0,2,1,0,0,4,0,0,0,0,0,72,0,0,0,0,0
"Powell-Pepper, Sam",6,2,9,1,3,0,6,0,3,0,5,3,1,0,6,0,1,0,1,1,87,0,0,0,1,0
"Ratugolea, Esava",8,5,1,0,0,0,0,2,0,0,2,0,0,0,5,4,0,12,0,0,87,1,0,0,0,0
"Richards, Joe",4,4,12,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0,73,0,1,0,0,0
"Rioli, Willie",7,2,2,0,1,0,1,0,3,0,3,0,1,0,2,0,0,0,0,2,87,0,0,0,1,0
"Rozee, Connor",12,2,8,0,0,0,6,1,5,4,4,5,1,0,9,0,0,3,2,0,81,0,1,0,0,0
"Sinn, Josh",11,3,1,0,0,0,1,4,2,0,2,0,0,0,1,0,0,3,0,1,79,0,0,0,0,0
"Sweet, Jordon",2,0,8,0,0,39,4,1,0,5,5,3,3,0,13,0,0,4,0,0,85,0,0,1,0,0
"Wines, Ollie",7,1,16,0,1,4,5,0,1,5,4,0,1,0,10,0,0,1,1,0,77,0,0,0,0,0
"Byrnes, Ryan",14,7,3,0,0,0,3,4,1,1,3,1,1,0,1,0,0,1,0,0,82,1,0,0,0,1
"Caminiti, Anthony",11,10,6,0,0,0,1,2,1,0,4,0,1,0,7,2,0,1,0,0,91,1,0,0,0,1
"Collard, Lance",8,1,1,1,2,0,5,0,4,0,2,1,1,0,6,1,1,0,0,2,66,0,0,0,1,1
"Garcia, Hugo",4,0,8,0,0,0,5,1,1,7,2,0,2,0,7,0,0,0,0,0,66,0,1,0,0,1
"Hall, Max",2,1,6,1,0,0,3,1,1,1,1,0,1,0,3,0,1,1,0,1,75,0,0,0,0,1
"Hastie, Angus",2,2,2,0,0,0,2,2,0,0,2,0,2,0,3,0,0,0,1,0,31,1,0,0,0,1
"Higgins, Jack",6,2,4,3,0,0,5,0,1,0,1,0,0,0,4,1,1,1,0,1,82,0,0,0,1,1
"Hill, Bradley",10,6,8,0,1,0,2,1,3,2,0,0,0,0,6,0,0,1,1,1,88,0,0,0,0,1
"Jones, Zak",2,3,9,0,0,0,0,1,1,1,1,0,1,0,4,0,0,0,0,0,61,0,1,0,0,1
"Keeler, Isaac",1,0,2,0,0,2,0,0,1,1,1,1,1,0,3,0,0,1,0,0,50,0,0,0,1,1
"Macrae, Jack",15,0,13,0,1,0,4,0,5,9,6,2,2,2,15,0,0,0,0,2,92,0,1,0,0,1
"Marshall, Rowan",9,3,5,0,0,17,5,1,2,3,5,1,3,0,7,0,0,1,0,0,86,0,0,1,0,1
"Owens, Mitch",6,2,2,2,1,2,1,0,0,0,0,2,0,0,3,0,1,2,0,1,88,0,0,0,1,1
"Sharman, Cooper",9,4,4,1,1,1,3,2,2,0,2,3,0,0,8,2,1,4,0,2,96,0,0,0,1,1
"Sinclair, Jack",21,3,4,1,1,0,2,6,4,3,3,0,0,0,8,0,0,4,0,0,83,1,0,0,0,1
"Stocker, Liam",8,4,6,0,0,0,1,3,2,2,1,3,1,0,8,0,0,3,0,0,87,1,0,0,0,1
"Travaglia, Tobie",6,2,3,1,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,72,0,0,0,0,1
"Wanganeen-Milera, Nasiah",20,3,5,1,1,0,2,8,3,2,6,3,2,1,9,1,0,3,3,1,85,1,0,0,0,1
"Webster, Jimmy",7,3,1,0,0,0,1,3,0,0,0,0,0,0,3,0,0,2,0,0,72,1,0,0,0,1
"Wilkie, Callum",13,7,4,0,0,0,4,7,0,0,1,1,0,0,5,1,0,2,0,0,100,1,0,0,0,1
"Wilson, Darcy",16,4,3,1,0,0,0,3,5,2,6,2,1,0,6,0,0,1,0,0,86,0,0,0,0,1
"Windhager, Marcus",10,1,8,0,0,0,3,2,2,6,8,2,3,0,12,0,0,0,0,0,73,0,0,0,0,1
"Wood, Mason",9,2,4,1,1,0,2,1,2,1,4,0,2,0,4,0,1,1,0,0,90,0,0,0,1,1
"Amiss, Jye",4,3,3,1,0,0,2,0,0,0,2,0,1,0,3,0,0,3,0,0,87,0,0,0,1,1
"Banfield, Bailey",6,1,7,1,0,0,3,1,3,2,2,0,1,0,5,0,0,0,0,0,83,0,0,0,0,1
"Bolton, Shai",10,4,4,2,1,0,2,1,4,1,2,0,1,0,1,0,3,2,9,1,76,0,0,0,1,1
"Brayshaw, Andrew",12,2,17,1,0,0,9,1,3,4,3,1,0,3,13,0,0,1,0,4,84,0,1,0,0,1
"Chapman, Heath",8,7,7,0,0,0,1,5,0,0,2,2,0,0,2,0,0,3,0,0,80,1,0,0,0,1
"Clark, Jordan",18,5,8,0,0,0,3,10,2,0,5,1,2,0,7,0,0,4,1,0,85,1,0,0,0,1
"Cox, Brennan",10,7,6,0,0,0,2,3,0,0,4,0,2,0,8,3,0,5,0,0,83,1,0,0,0,1
"Draper, Josh",5,2,3,0,0,0,2,3,0,0,2,1,2,0,3,0,0,12,0,0,87,1,0,0,0,1
"Dudley, Isaiah",5,3,7,1,0,0,3,0,2,0,2,0,0,0,1,0,0,0,0,0,71,0,0,0,1,1
"Frederick, Michael",11,5,2,3,1,0,3,0,4,0,3,0,1,0,3,1,1,2,0,0,78,0,0,0,1,1
"Jackson, Luke",5,2,11,1,0,30,0,2,1,3,2,1,2,0,7,0,0,3,0,2,59,0,0,1,0,1
"Johnson, Matthew",5,1,8,0,0,0,3,1,3,1,3,1,1,0,6,0,0,2,2,0,68,0,0,0,0,1
"ODriscoll, Nathan",8,3,4,0,1,0,7,2,1,2,4,1,2,0,3,0,0,0,0,0,55,0,0,0,0,1
"OMeara, Jaeger",4,1,11,0,0,0,4,0,2,2,6,1,4,0,7,0,0,1,0,0,76,0,1,0,0,1
"Pearce, Alex",4,5,9,0,0,0,3,2,0,0,5,0,3,0,8,1,0,4,0,0,91,1,0,0,0,1
"Reid, Murphy",7,3,9,1,0,0,1,0,2,1,4,1,2,0,10,0,0,1,1,2,91,0,0,0,1,1
"Ryan, Luke",23,6,3,0,0,0,4,10,2,2,1,0,0,0,5,1,0,6,0,0,97,1,0,0,0,1
"Serong, Caleb",15,0,23,0,0,0,7,1,8,15,5,2,0,2,24,0,0,3,0,2,85,0,1,0,0,1
"Sharp, Jeremy",10,4,11,1,0,0,0,3,2,2,4,0,1,0,9,0,0,1,0,0,97,1,0,0,0,1
"Treacy, Josh",12,8,3,3,2,4,3,1,2,0,2,1,1,0,3,1,4,4,2,1,97,0,0,0,1,1
"Voss, Patrick",3,0,6,0,1,6,5,2,1,3,2,2,1,0,7,0,0,0,0,1,83,0,0,0,1,1
"Wagner, Corey",2,0,4,0,0,0,0,0,2,1,1,0,0,0,1,0,0,2,0,0,54,0,0,0,0,1
"Worner, Karl",4,2,4,0,0,0,0,2,0,0,1,0,0,0,4,0,0,1,0,0,31,1,0,0,0,1
"Baker, Oskar",17,8,3,0,0,0,1,7,2,1,5,2,1,0,4,0,0,3,0,0,78,1,0,0,0,0
"Bramble, Lachlan",10,3,6,0,0,0,3,3,1,1,2,2,0,0,4,1,0,0,0,0,76,1,0,0,0,0
"Dale, Bailey",18,4,8,0,0,0,1,2,6,2,0,1,0,0,8,1,0,1,1,1,85,1,0,0,0,0
"Darcy, Sam",15,11,6,5,0,2,1,0,3,3,1,2,0,1,11,4,6,0,0,1,82,0,0,0,1,0
"Davidson, Sam",9,5,9,0,1,0,3,0,1,0,5,1,3,0,7,0,1,1,0,0,85,0,0,0,0,0
"Dolan, Josh",5,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,71,0,0,0,1,0
"English, Tim",12,3,7,0,0,40,4,2,4,6,1,2,1,0,11,0,0,3,0,0,80,0,0,1,0,0
"Freijah, Joel",6,1,9,0,0,0,2,0,2,5,3,0,1,0,7,0,0,1,0,0,79,0,1,0,0,0
"Gallagher, Harvey",5,0,4,0,0,0,1,0,0,0,1,1,0,0,4,0,0,2,0,0,45,1,0,0,0,0
"Harmes, James",11,4,13,1,0,0,7,0,4,2,4,1,1,0,10,1,0,0,1,0,74,0,0,0,0,0
"Jones, Liam",9,4,3,0,0,0,0,3,1,0,0,1,0,0,4,0,0,4,0,0,85,1,0,0,0,0
"Kennedy, Matthew",15,4,11,0,0,0,4,2,8,9,6,0,0,0,14,0,0,1,0,2,73,0,1,0,0,0
"Khamis, Buku",3,4,8,0,0,0,4,3,0,0,4,0,2,0,5,0,0,9,0,0,96,1,0,0,0,0
"Liberatore, Tom",17,4,13,0,0,0,2,2,5,6,2,2,1,0,12,0,0,1,0,0,81,0,1,0,0,0
"Lobb, Rory",9,7,3,0,0,0,2,2,4,0,1,1,0,0,6,2,0,3,0,1,100,1,0,0,0,0
"McNeil, Lachlan",5,1,5,1,0,0,4,0,3,0,3,1,0,0,6,1,0,0,0,1,82,0,0,0,1,0
"Naughton, Aaron",7,3,2,1,1,0,3,0,4,0,2,2,0,0,6,0,1,1,0,2,83,0,0,0,1,0
"ODonnell, James",7,1,3,1,1,4,0,1,3,0,2,4,0,0,5,0,0,0,1,0,84,0,0,0,1,0
"Richards, Ed",11,3,12,0,0,0,4,0,6,4,3,1,0,0,13,0,0,1,1,2,81,0,1,0,0,0
"Sanders, Ryley",11,5,9,2,0,0,4,0,1,1,1,1,1,0,4,0,0,1,0,0,78,0,0,0,1,0
"Vandermeer, Laitham",3,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,1,0,0,38,0,0,0,1,0
"West, Rhylee",7,3,8,1,1,0,4,0,1,0,2,1,2,0,6,0,2,1,0,0,82,0,0,0,1,0
"Williams, Bailey",9,6,7,0,0,0,3,2,1,2,4,1,2,0,7,1,1,1,0,0,81,0,0,0,0,0
"Crouch, Matt",10,4,18,0,0,0,2,0,4,11,7,2,4,0,14,0,0,1,0,0,63,0,1,0,0,0
"Cumming, Isaac",13,5,1,0,1,0,1,1,3,0,1,0,0,0,4,1,1,5,0,2,83,0,0,0,0,0
"Curtin, Daniel",2,0,3,1,0,0,3,1,0,0,1,0,1,0,3,0,0,3,0,0,74,0,0,0,0,0
"Dawson, Jordan",17,3,4,0,3,0,6,2,8,2,8,3,2,0,7,0,0,0,0,0,87,0,1,0,0,0
"Draper, Sid",2,1,5,1,0,0,2,1,0,0,1,0,0,0,3,0,1,1,0,0,63,0,0,0,1,0
"Fogarty, Darcy",9,6,6,4,1,0,0,0,1,0,3,1,3,0,5,0,4,5,0,0,87,0,0,0,1,0
"Hinge, Mitch",19,6,6,0,0,0,2,4,3,0,5,3,1,0,6,0,0,1,1,0,85,1,0,0,0,0
"Keane, Mark",15,9,9,0,0,0,0,7,0,1,5,0,1,0,9,2,0,4,1,0,91,1,0,0,0,0
"Keays, Ben",10,6,8,3,0,0,1,0,2,1,5,1,1,0,4,0,3,0,0,1,91,0,0,0,1,0
"Laird, Rory",14,8,9,0,0,0,1,3,3,4,2,1,0,0,9,1,0,0,0,1,77,1,0,0,0,0
"Michalanney, Max",7,2,3,0,0,0,2,2,2,0,1,1,0,0,1,0,0,1,0,0,100,1,0,0,0,0
"Milera, Wayne",14,5,8,0,0,0,3,5,2,0,1,0,0,0,7,0,0,3,0,1,80,1,0,0,0,0
"Nankervis, Luke",8,4,10,0,0,0,5,0,1,0,5,2,2,0,8,0,0,4,0,0,82,0,0,0,0,0
"Neal-Bullen, Alex",7,4,5,0,0,0,2,2,2,0,2,0,1,0,6,0,0,2,0,1,83,0,0,0,1,0
"OBrien, Reilly",1,1,4,0,0,38,3,2,1,2,4,2,3,0,3,0,0,1,0,0,82,0,0,1,0,0
"Peatling, James",10,1,12,0,0,0,5,2,5,5,5,2,1,0,10,0,0,0,0,4,84,0,1,0,0,0
"Rankine, Izak",16,5,9,2,0,0,4,3,2,4,8,1,1,0,8,0,1,1,0,1,82,0,1,0,0,0
"Sholl, Lachlan",5,3,2,0,0,0,0,1,2,0,2,0,0,0,1,0,0,1,0,0,45,0,0,0,0,0
"Soligo, Jake",8,2,7,0,1,0,2,1,3,4,1,2,1,0,9,0,1,0,0,0,78,0,0,0,0,0
"Taylor, Zac",4,2,4,1,0,0,3,0,3,1,0,1,0,0,4,0,0,0,0,0,36,0,0,0,0,0
