PlayerUnique,total_expected_votes
"Hill, Bradley",0.005448552
"Macrae, Jack",0.000210577
"Marshall, Rowan",4.83571E-05
"Owens, Mitch",0.000417264
"Phillipou, Mattaes",0.000103168
"Ryan, Liam",7.59058E-05
"Sharman, Cooper",0.000376214
"Silvagni, Jack",0.003478304
"Sinclair, Jack",0.260433515
"Tauru, Alix",2.38293E-05
"Wanganeen-Milera, Nasiah",0.00103886
"Wilkie, Callum",0.095986591
"Wilson, Darcy",0.003041584
"Windhager, Marcus",0.054972632
"Wood, Mason",7.3272E-05
"Allan, Edward",0.000353392
"Buller, Jack",0.000102521
"Cameron, Darcy",1.1788256
"Crisp, Jack",0.078622687
"Daicos, Josh",1.84310569
"Daicos, Nick",2.33871857
"de Goey, Jordan",0.190611499
"Elliott, Jamie",0.002996023
"Frampton, Billy",0.052050343
"Houston, Dan",0.122458863
"Lipinski, Patrick",0.004340389
"Long, Ned",0.000534759
"Maynard, Brayden",0.32570253
"McCreery, Beau",0.010898522
"McStay, Daniel",0.000527087
"Membrey, Tim",3.59423E-05
"Parker, Wil",0.001459354
"Pendlebury, Scott",0.015236326
"Perryman, Harry",0.018890474
"Quaynor, Isaac",0.136123273
"Schultz, Lachie",0.122393737
"Sidebottom, Steele",0.000478353
"Steele, Roan",0.000487421
